"id","name"
"__export__.article_categorie_1","Autres"
"__export__.article_categorie_2","Decoratif"
"__export__.article_categorie_3","Poignee"
"__export__.article_categorie_4","Serrure"
"__export__.article_categorie_5","Vitrage"
